EUW1_7565915279,100
EUW1_7565890458,100
EUW1_7565827061,100
EUW1_7564441507,200
EUW1_7564379728,100
EUW1_7564331292,100
EUW1_7555795702,100
EUW1_7546634803,100
EUW1_7546546825,200
EUW1_7546462236,100
EUW1_7546347988,200
EUW1_7546259609,200
EUW1_7546200155,200
EUW1_7544535671,100
EUW1_7528573873,100
EUW1_7528514088,200
EUW1_7528456862,100
EUW1_7528400838,100
EUW1_7528356753,200
EUW1_7527685432,100
EUW1_7527615494,100
EUW1_7527554289,200
EUW1_7527505887,200
EUW1_7527471477,200
EUW1_7527415481,100
EUW1_7527374030,200
EUW1_7527344337,200
EUW1_7527308983,100
EUW1_7527260970,200
EUW1_7523570767,200
EUW1_7523503705,200
EUW1_7523464456,200
EUW1_7523427797,200
EUW1_7522743450,200
EUW1_7522698087,100
EUW1_7522487420,100
EUW1_7522458820,200
EUW1_7521335781,200
EUW1_7521296299,100
EUW1_7521288911,100
EUW1_7521245307,200
EUW1_7521221424,200
EUW1_7521202899,200
EUW1_7521179267,200
EUW1_7520838344,100
EUW1_7520807532,200
EUW1_7494947886,200
EUW1_7477553734,100
EUW1_7477495489,200
EUW1_7476406134,200
EUW1_7475405267,100
EUW1_7475361949,200
EUW1_7473588102,200
EUW1_7404588726,100
EUW1_7403059368,200
EUW1_7403049065,100
EUW1_7403035306,200
EUW1_7403019234,100
EUW1_7402992086,200
EUW1_7402951389,200
EUW1_7402921718,200
EUW1_7402856323,200
EUW1_7402804113,100
EUW1_7402756813,200
EUW1_7402680881,200
EUW1_7272804290,200
EUW1_7272753177,200
EUW1_7272680255,100
EUW1_7272618021,200
EUW1_7271596982,100
EUW1_7271514296,200
EUW1_7226395407,200
EUW1_7226350134,100
EUW1_6684632618,100
EUW1_6683601057,200
EUW1_6683571157,200
EUW1_6683506363,200
EUW1_6683304626,100
EUW1_6681723561,100
EUW1_6681658863,100
EUW1_6681623915,200
EUW1_6681571510,100
EUW1_6680097850,100
EUW1_6680031158,200
EUW1_6679738733,200
EUW1_6679713825,200
EUW1_6679642811,100
EUW1_6679613547,100
EUW1_6679568278,200
EUW1_6665353827,100
EUW1_6662306824,200
EUW1_6662265602,200
EUW1_6661566656,200
EUW1_7567632941,200
EUW1_7567614035,100
EUW1_7567609215,100
EUW1_7567590455,200
EUW1_7567126686,100
EUW1_7567077875,200
EUW1_7567024168,100
EUW1_7566990636,100
EUW1_7566950734,100
EUW1_7566912557,100
EUW1_7566212292,100
EUW1_7565633687,200
EUW1_7565572778,200
EUW1_7565472430,200
EUW1_7565435668,200
EUW1_7565387494,100
EUW1_7564703074,200
EUW1_7564108975,200
EUW1_7563469380,100
EUW1_7563415976,200
EUW1_7561884486,200
EUW1_7561834213,100
EUW1_7561792917,200
EUW1_7561595712,200
EUW1_7561573748,200
EUW1_7561553706,100
EUW1_7561068483,200
EUW1_7560996135,100
EUW1_7554357350,200
EUW1_7554291179,200
EUW1_7554195635,100
EUW1_7553929736,100
EUW1_7553266506,200
EUW1_7553211970,100
EUW1_7553175187,200
EUW1_7552441800,200
EUW1_7552369160,200
EUW1_7544802902,100
EUW1_7544744593,100
EUW1_7544599519,200
EUW1_7544467660,100
EUW1_7544123306,200
EUW1_7542839300,100
EUW1_7542780095,200
EUW1_7542048913,100
EUW1_7541958300,200
EUW1_7541884231,100
EUW1_7541814375,200
EUW1_7541709259,100
EUW1_7539514547,200
EUW1_7537915723,100
EUW1_7537893752,200
EUW1_7537760451,200
EUW1_7537754594,200
EUW1_7537739543,100
EUW1_7535210709,200
EUW1_7533945652,100
EUW1_7533187914,200
