EUW1_7565915279,100,TRUE,100,top,Rengar,13,4,6,4.75,4,12,sYCwVrFl9Vtk5OIzaPmvOkz94mXbGq8gCAzLMY3y3lbJ86Bc6sjTaK7mmSJP5CJywXbZRqkVONAslw
EUW1_7565915279,100,TRUE,100,jungle,Volibear,3,5,11,2.8,11,4,pPB2MDK3WmGhV5eHxGtKE0Kn7VllY8GHNIy2h-xKi49iJFk6mhcp_4yy0RVttF0tDOz4CE_UzN-j4g
EUW1_7565915279,100,TRUE,100,mid,Rumble,6,2,8,7,4,14,PAB0muOWs7kW2HTd69QoliKOcpX3cMQFhRzOsyxdS79vtDT8f3TdlPWhcgPLeonJFJ2kPWmJvSJB4g
EUW1_7565915279,100,TRUE,100,bot,Kaisa,13,5,7,4,4,21,UtVzoOrC2RAsButsKeE6pTEM_vsZl1Uo0xYwaX97gyc4MQy6_r5IrqBCLeVxLHdAymHw6I0N3WvTvw
EUW1_7565915279,100,TRUE,100,sup,Nami,1,3,21,7.333,7,4,DGePAi-tdeY2h_7yMNx4exHrq_QEOe7E75S1JVdZPblpgnBMcDwT_BGYttOEEGLAZJ4xet-wmjOZgQ
EUW1_7565915279,200,FALSE,100,top,Renekton,1,9,2,0.333,4,12,8EPRONlg2AHaVAWpOPASFix5pQoQBseF6Qgb4ueOzp4XzcEfcrDbFSZoKj-fbIbt9smk_ybPOiMtjA
EUW1_7565915279,200,FALSE,100,jungle,Elise,5,8,4,1.125,4,11,AM4Prxs7rOdD9ndoaXgjThve6V_h6P9rRq01e8s4HtbH3LsXepwd1LRN20seIfu3vJl85-aeXDXzsg
EUW1_7565915279,200,FALSE,100,mid,Malzahar,4,5,5,1.8,4,12,7qF3SOFFbhWNJho_cCzMZbsaIj4MthxyAym28RaEC1wXd9pBYgk322pfPQw11jZQSwVMSmB9XXsJYw
EUW1_7565915279,200,FALSE,100,bot,Smolder,5,7,5,1.429,4,21,_JPK8Ejd1aK4K6fDjUGMphmG3D53eOJbRWjwgGCMV-UujFanp0hbLHIF2a1WLUgYBgxeSXx_o_v-mQ
EUW1_7565915279,200,FALSE,100,sup,Bard,4,7,10,2,4,14,XZcW0kcsh6gRAdSan0kd01wq5T96ym8mRhpbCrQK1XmQX46igRio_urUP9jbeeku0_-Cu536WukZow
EUW1_7565890458,100,TRUE,100,top,Rengar,6,2,2,4,4,14,sYCwVrFl9Vtk5OIzaPmvOkz94mXbGq8gCAzLMY3y3lbJ86Bc6sjTaK7mmSJP5CJywXbZRqkVONAslw
EUW1_7565890458,100,TRUE,100,jungle,Udyr,3,0,2,5,11,4,kesqXKZqdwVPekyqp32qMBSrfBJWjjnytRoyQZzIjJIYSWdXDXMBnTVheMRYsUD5p5pSExLmA_rsug
EUW1_7565890458,100,TRUE,100,mid,Aurora,2,2,1,1.5,4,12,Yn4OucoFL4tRnJ1J7ZRETjdVa1p2qISVrKizp-9OnBvzvVs-BbtInPx52QkxPPkB-vts8-yUQDtf7g
EUW1_7565890458,100,TRUE,100,bot,MissFortune,4,1,1,5,4,21,_JlbT9y6gSgAO5NsbnF5pGHvvcX6tckgfupAxZLbsHUJwrw54w0cC81HaVdEGuLiF6PAiZ68txBcSQ
EUW1_7565890458,100,TRUE,100,sup,Thresh,1,3,5,2,4,14,7mkkksHia0RKt9dml1AXFBKHvqDZLvtmdvfC0jkgfEz7t0V4IZcen4FFVbt6O4biouVVwbmpAmchuA
EUW1_7565890458,200,FALSE,100,top,Olaf,2,4,1,0.75,6,4,aI_WpXf1J21F3v-g7rfchUWwPXCsDWl7Ed595-N8WLT4yI3u3JmgcgUcsBzS3Dy4mnJngwKlouLQUg
EUW1_7565890458,200,FALSE,100,jungle,FiddleSticks,1,3,0,0.333,11,4,7KlOmYPozoBcScl0Pk8xh3TvqTKBS-5daAacMbi26FoGymoB1tHzmS6IWXItMUMHH4ybsiUBXlryPg
EUW1_7565890458,200,FALSE,100,mid,Leblanc,2,4,2,1,4,12,UtVzoOrC2RAsButsKeE6pTEM_vsZl1Uo0xYwaX97gyc4MQy6_r5IrqBCLeVxLHdAymHw6I0N3WvTvw
EUW1_7565890458,200,FALSE,100,bot,Ashe,3,3,0,1,4,21,F2nInyhAfw_Ku7XSSIcZx1is-xRzf7dogKzDzjpSStayH7Mrs14i2ITjwug1MyZ4Z2c1piS2o9sREg
EUW1_7565890458,200,FALSE,100,sup,Nami,0,3,3,1,7,4,DGePAi-tdeY2h_7yMNx4exHrq_QEOe7E75S1JVdZPblpgnBMcDwT_BGYttOEEGLAZJ4xet-wmjOZgQ
EUW1_7565827061,100,TRUE,100,top,Sett,8,6,4,2,14,4,5IvuQInTrL15x0qJV9tttoVNZ2yDC1rr_tLg1tfGF5Htw0NbJfVZ4D31c3nlitc9l9kagS4tQa2jbQ
EUW1_7565827061,100,TRUE,100,jungle,Rengar,6,8,9,1.875,4,11,VvGcaQ4cGPxMNHzvfAhmIOQI0wlF2MTf4ATsiaq1Xj--IgsLAbXdKPEjbsob_-ce77UO-87MY4upew
