participantId,teamId,win,summonerName,puuid,championName,champLevel,teamPosition,role,lane,kills,deaths,assists,totalMinionsKilled,neutralMinionsKilled,goldEarned,goldSpent,visionScore,timeCCingOthers,totalDamageDealt,totalDamageDealtToChampions,magicDamageDealt,physicalDamageDealt,trueDamageDealt,damageDealtToObjectives,damageSelfMitigated,totalHeal,totalHealsOnTeammates,totalDamageTaken,totalTimeSpentDead,wardsPlaced,wardsKilled,item0,item1,item2,item3,item4,item5,item6,summoner1Id,summoner2Id,rune_1,rune_2,rune_3,rune_4,rune_5,rune_6,runes_primary_style,runes_secondary_style,perks_raw
1,100,False,,aRa3SWPEqGd16yZDFFjDsLcSRHUtHVRYmAzqHIOoXD12ecUVQBPC2PrpMUchA2sfpYpmgyTTs1BenQ,Gwen,12,TOP,SOLO,TOP,2,7,2,121,0,6830,5600,10,5,82730,16721,34440,20377,27912,1992,13412,4529,0,22758,175,6,0,1056,4633,3047,3145,0,0,3340,6,12,8010,8009,9104,8299,8345,8304,8000,8300,"{""statPerks"": {""defense"": 5001, ""flex"": 5008, ""offense"": 5005}, ""styles"": [{""description"": ""primaryStyle"", ""selections"": [{""perk"": 8010, ""var1"": 352, ""var2"": 0, ""var3"": 0}, {""perk"": 8009, ""var1"": 737, ""var2"": 0, ""var3"": 0}, {""perk"": 9104, ""var1"": 21, ""var2"": 0, ""var3"": 0}, {""perk"": 8299, ""var1"": 689, ""var2"": 0, ""var3"": 0}], ""style"": 8000}, {""description"": ""subStyle"", ""selections"": [{""perk"": 8345, ""var1"": 3, ""var2"": 0, ""var3"": 251}, {""perk"": 8304, ""var1"": 11, ""var2"": 1, ""var3"": 5}], ""style"": 8300}]}"
2,100,False,,7nRCLRim8l-b7r9xWHws1lxzXQNwBY3O3vh3hlmnYIZB07Lx3CdIhiPB_o_QCGtjSYb5NJ3AfBYUCw,MasterYi,12,JUNGLE,NONE,JUNGLE,9,6,3,24,87,10830,10625,8,13,134503,19644,3781,85262,45460,10626,14383,12509,0,25120,107,1,2,3153,3051,3124,3111,1043,6690,3364,4,11,8008,9111,9104,8014,8140,8135,8000,8100,"{""statPerks"": {""defense"": 5001, ""flex"": 5008, ""offense"": 5005}, ""styles"": [{""description"": ""primaryStyle"", ""selections"": [{""perk"": 8008, ""var1"": 720, ""var2"": 720, ""var3"": 0}, {""perk"": 9111, ""var1"": 705, ""var2"": 240, ""var3"": 0}, {""perk"": 9104, ""var1"": 13, ""var2"": 20, ""var3"": 0}, {""perk"": 8014, ""var1"": 731, ""var2"": 0, ""var3"": 0}], ""style"": 8000}, {""description"": ""subStyle"", ""selections"": [{""perk"": 8140, ""var1"": 12, ""var2"": 0, ""var3"": 0}, {""perk"": 8135, ""var1"": 320, ""var2"": 4, ""var3"": 0}], ""style"": 8100}]}"
3,100,False,,v-GN-VkaWbGjJrelSQJjewK89uHyjgVII9oXGoi5k3cM4AGplO8s_9PTWWUqPnDkADj7Dr-g3hga2g,Qiyana,13,MIDDLE,SOLO,MIDDLE,1,5,1,118,0,6659,6200,11,8,74051,7255,6916,67134,0,1340,6121,1315,0,14056,130,3,1,3077,6697,1055,1001,2022,1037,3364,12,4,8010,8009,9104,8299,8444,8451,8000,8400,"{""statPerks"": {""defense"": 5001, ""flex"": 5008, ""offense"": 5008}, ""styles"": [{""description"": ""primaryStyle"", ""selections"": [{""perk"": 8010, ""var1"": 31, ""var2"": 0, ""var3"": 0}, {""perk"": 8009, ""var1"": 249, ""var2"": 0, ""var3"": 0}, {""perk"": 9104, ""var1"": 0, ""var2"": 0, ""var3"": 0}, {""perk"": 8299, ""var1"": 354, ""var2"": 0, ""var3"": 0}], ""style"": 8000}, {""description"": ""subStyle"", ""selections"": [{""perk"": 8444, ""var1"": 748, ""var2"": 0, ""var3"": 0}, {""perk"": 8451, ""var1"": 165, ""var2"": 0, ""var3"": 0}], ""style"": 8400}]}"
4,100,False,,9kTz8WWzL3nMHsCWYTYPh9G5cnGtvmaMhjb6xbIaOAKlA5zrsXBYNQXc8UcPbL2LMkWQQVGdO2dFXQ,Sivir,12,BOTTOM,CARRY,BOTTOM,2,5,5,146,1,7833,7575,9,0,75997,9120,283,73030,2683,3203,3998,2190,0,13494,152,4,3,3032,1038,1018,1037,1055,3006,3340,4,1,8008,8009,9103,8017,8304,8345,8000,8300,"{""statPerks"": {""defense"": 5011, ""flex"": 5008, ""offense"": 5005}, ""styles"": [{""description"": ""primaryStyle"", ""selections"": [{""perk"": 8008, ""var1"": 39, ""var2"": 39, ""var3"": 0}, {""perk"": 8009, ""var1"": 865, ""var2"": 0, ""var3"": 0}, {""perk"": 9103, ""var1"": 0, ""var2"": 0, ""var3"": 0}, {""perk"": 8017, ""var1"": 480, ""var2"": 0, ""var3"": 0}], ""style"": 8000}, {""description"": ""subStyle"", ""selections"": [{""perk"": 8304, ""var1"": 9, ""var2"": 4, ""var3"": 5}, {""perk"": 8345, ""var1"": 3, ""var2"": 0, ""var3"": 132}], ""style"": 8300}]}"
5,100,False,,unnfUIb-qWgNPdZMNAp2MZhFkA0uKISIvUoiWoScjR6VRjfycd1UtTDhhBB5_lYOutMTM37wdZoKQw,Braum,9,UTILITY,SUPPORT,BOTTOM,1,10,7,16,0,5709,5225,53,34,16599,7124,7331,3692,5574,3753,17816,1443,278,23355,177,30,4,3876,3190,3047,2031,1031,1006,3364,4,14,8465,8463,8473,8242,8345,8347,8400,8300,"{""statPerks"": {""defense"": 5001, ""flex"": 5001, ""offense"": 5005}, ""styles"": [{""description"": ""primaryStyle"", ""selections"": [{""perk"": 8465, ""var1"": 603, ""var2"": 0, ""var3"": 0}, {""perk"": 8463, ""var1"": 935, ""var2"": 0, ""var3"": 0}, {""perk"": 8473, ""var1"": 533, ""var2"": 0, ""var3"": 0}, {""perk"": 8242, ""var1"": 115, ""var2"": 0, ""var3"": 0}], ""style"": 8400}, {""description"": ""subStyle"", ""selections"": [{""perk"": 8345, ""var1"": 3, ""var2"": 0, ""var3"": 200}, {""perk"": 8347, ""var1"": 0, ""var2"": 0, ""var3"": 0}], ""style"": 8300}]}"
6,200,True,,boS93q7poe_470EQu-XKqHbOHtD9vWN-1GxZTFRm30VmytfwneJHYgHRdEaDGe07ixBdh4bcnJGBiw,Nasus,14,TOP,DUO,TOP,8,2,4,157,4,11053,10583,7,19,133145,19898,8962,118234,5948,11201,20570,14645,0,27072,70,4,0,1054,3078,3158,3110,3071,1029,3340,6,12,8010,9111,9105,8299,8444,8242,8000,8400,"{""statPerks"": {""defense"": 5001, ""flex"": 5001, ""offense"": 5007}, ""styles"": [{""description"": ""primaryStyle"", ""selections"": [{""perk"": 8010, ""var1"": 687, ""var2"": 0, ""var3"": 0}, {""perk"": 9111, ""var1"": 1139, ""var2"": 240, ""var3"": 0}, {""perk"": 9105, ""var1"": 11, ""var2"": 50, ""var3"": 0}, {""perk"": 8299, ""var1"": 1068, ""var2"": 0, ""var3"": 0}], ""style"": 8000}, {""description"": ""subStyle"", ""selections"": [{""perk"": 8444, ""var1"": 1208, ""var2"": 0, ""var3"": 0}, {""perk"": 8242, ""var1"": 66, ""var2"": 0, ""var3"": 0}], ""style"": 8400}]}"
7,200,True,,5WQjENOCh-LDkpM7NVHU-ZEqxoHWMJYDxW2fg29XycaFU88CZGnIBFc34PxKec-5bqEpQVCW1B2gBw,Kayn,13,JUNGLE,NONE,JUNGLE,8,4,3,11,141,9536,7850,15,13,189801,14188,63,155049,34688,25557,14557,13204,0,21547,110,9,0,6699,6697,3047,0,0,0,3340,11,4,8010,9111,9105,8299,8224,8210,8000,8200,"{""statPerks"": {""defense"": 5001, ""flex"": 5008, ""offense"": 5008}, ""styles"": [{""description"": ""primaryStyle"", ""selections"": [{""perk"": 8010, ""var1"": 124, ""var2"": 0, ""var3"": 0}, {""perk"": 9111, ""var1"": 453, ""var2"": 220, ""var3"": 0}, {""perk"": 9105, ""var1"": 9, ""var2"": 50, ""var3"": 0}, {""perk"": 8299, ""var1"": 302, ""var2"": 0, ""var3"": 0}], ""style"": 8000}, {""description"": ""subStyle"", ""selections"": [{""perk"": 8224, ""var1"": 34, ""var2"": 317, ""var3"": 0}, {""perk"": 8210, ""var1"": 0, ""var2"": 0, ""var3"": 0}], ""style"": 8200}]}"
8,200,True,,3JdpYnVEPONwfpSGww2aYsZUjPw3ivsE2MfHJ8DuQ6WWYawG92XzWtwXC0Fnpk1VDHiNZQVI6T8png,Orianna,14,MIDDLE,DUO,TOP,6,1,8,161,0,10084,10000,7,18,104078,20213,94140,9139,798,5075,7170,2434,0,9560,20,6,0,6655,2421,3175,4645,1082,0,3340,4,12,8214,8226,8210,8237,8473,8401,8200,8400,"{""statPerks"": {""defense"": 5001, ""flex"": 5008, ""offense"": 5005}, ""styles"": [{""description"": ""primaryStyle"", ""selections"": [{""perk"": 8214, ""var1"": 1108, ""var2"": 163, ""var3"": 0}, {""perk"": 8226, ""var1"": 250, ""var2"": 816, ""var3"": 0}, {""perk"": 8210, ""var1"": 11, ""var2"": 0, ""var3"": 0}, {""perk"": 8237, ""var1"": 490, ""var2"": 0, ""var3"": 0}], ""style"": 8200}, {""description"": ""subStyle"", ""selections"": [{""perk"": 8473, ""var1"": 355, ""var2"": 0, ""var3"": 0}, {""perk"": 8401, ""var1"": 206, ""var2"": 0, ""var3"": 0}], ""style"": 8400}]}"
9,200,True,,y6c07GOX6Lq6G9AGMdyB6eptypJwEPZ9L8M0pXmKP_o8sWDc1-wKczA_v3MpA2Vuw9xF2xbeOhzKBA,Corki,14,BOTTOM,CARRY,BOTTOM,11,4,1,141,4,10383,8225,18,3,114050,20512,26641,72744,14663,14602,8648,2792,0,12090,92,9,2,1055,6676,3006,3072,1036,0,3340,4,21,8010,8009,9104,8017,8316,8304,8000,8300,"{""statPerks"": {""defense"": 5011, ""flex"": 5008, ""offense"": 5005}, ""styles"": [{""description"": ""primaryStyle"", ""selections"": [{""perk"": 8010, ""var1"": 127, ""var2"": 0, ""var3"": 0}, {""perk"": 8009, ""var1"": 1557, ""var2"": 0, ""var3"": 0}, {""perk"": 9104, ""var1"": 15, ""var2"": 30, ""var3"": 0}, {""perk"": 8017, ""var1"": 807, ""var2"": 0, ""var3"": 0}], ""style"": 8000}, {""description"": ""subStyle"", ""selections"": [{""perk"": 8316, ""var1"": 7, ""var2"": 10, ""var3"": 0}, {""perk"": 8304, ""var1"": 9, ""var2"": 4, ""var3"": 5}], ""style"": 8300}]}"
10,200,True,,-gYDhCvD4KPS8l9PRJlDVK5y9nU9OqMJyrloJknxRTX6nZScRm1lru3Jt37saNfMy7QVwOk8Oim55w,Leona,11,UTILITY,SUPPORT,BOTTOM,0,4,13,18,0,6400,5325,50,41,13452,6171,7424,4193,1835,1748,12886,1772,0,14309,71,18,12,3869,3170,3109,0,3067,0,3364,4,14,8439,8446,8473,8242,8347,8306,8400,8300,"{""statPerks"": {""defense"": 5011, ""flex"": 5001, ""offense"": 5007}, ""styles"": [{""description"": ""primaryStyle"", ""selections"": [{""perk"": 8439, ""var1"": 690, ""var2"": 457, ""var3"": 0}, {""perk"": 8446, ""var1"": 0, ""var2"": 0, ""var3"": 0}, {""perk"": 8473, ""var1"": 237, ""var2"": 0, ""var3"": 0}, {""perk"": 8242, ""var1"": 92, ""var2"": 0, ""var3"": 0}], ""style"": 8400}, {""description"": ""subStyle"", ""selections"": [{""perk"": 8347, ""var1"": 0, ""var2"": 0, ""var3"": 0}, {""perk"": 8306, ""var1"": 2, ""var2"": 0, ""var3"": 0}], ""style"": 8300}]}"
